date,sales,source
03/07/2023,664.72,EU
07/04/2023,635.47,US
07/05/2023,656.19,US
06/07/2023,648.92,EU
07/07/2023,688.62,US
07/08/2023,661.22,US
07/09/2023,663.72,US
07/10/2023,641.23,US
07/11/2023,638.96,US
07/12/2023,640.61,US
07/13/2023,665.42,US
07/14/2023,640.96,US
07/15/2023,662.28,US
07/16/2023,715.85,US
07/17/2023,679.72,US
07/18/2023,643.81,US
07/19/2023,689.63,US
07/20/2023,641.35,US
07/21/2023,592.45,US
07/22/2023,623.35,US
07/23/2023,597.47,US
07/24/2023,643.04,US
07/25/2023,654.14,US
07/26/2023,703.88,US
07/27/2023,663.4,US
07/28/2023,647.02,US
07/29/2023,678.47,US
07/30/2023,587.26,US
07/31/2023,660.66,US
01/08/2023,823.13,EU
02/08/2023,755.64,EU
08/03/2023,834.31,US
08/04/2023,810.15,US
05/08/2023,787.54,EU
08/06/2023,818.98,US
08/07/2023,868.12,US
08/08/2023,805.46,US
08/09/2023,807.45,US
10/08/2023,786.22,EU
08/11/2023,774.5,US
12/08/2023,824.91,EU
08/13/2023,774.32,US
08/14/2023,802.15,US
08/15/2023,785.67,US
08/16/2023,814.37,US
08/17/2023,810.01,US
08/18/2023,831.13,US
08/19/2023,784.7,US
08/20/2023,791.9,US
08/21/2023,770.64,US
08/22/2023,786.67,US
08/23/2023,811.32,US
08/24/2023,822.71,US
08/25/2023,772.34,US
08/26/2023,826.09,US
08/27/2023,840.67,US
08/28/2023,812.4,US
08/29/2023,856.3,US
08/30/2023,776.79,US
08/31/2023,762.66,US
09/01/2023,946.64,US
09/02/2023,1044.88,US
09/03/2023,1019.63,US
04/09/2023,998.33,EU
09/05/2023,1008.4,US
06/09/2023,966.24,EU
09/07/2023,1073.37,US
09/08/2023,1003.88,US
09/09/2023,1003.28,US
10/09/2023,1021.77,EU
09/11/2023,1014.43,US
09/12/2023,1006.72,US
09/13/2023,976.29,US
09/14/2023,1014.14,US
09/15/2023,1056.46,US
09/16/2023,1040.36,US
09/17/2023,1047.8,US
09/18/2023,984.66,US
09/19/2023,970.31,US
09/20/2023,996.23,US
09/21/2023,1001.67,US
09/22/2023,1032.83,US
09/23/2023,949.23,US
09/24/2023,1045.89,US
09/25/2023,995.26,US
09/26/2023,987.19,US
09/27/2023,969.64,US
09/28/2023,950.35,US
09/29/2023,1024.7,US
09/30/2023,1002.2,US
01/10/2023,1161.3,EU
10/02/2023,1161.15,US
03/10/2023,1189.93,EU
04/10/2023,1250.07,EU
10/05/2023,1192.21,US
06/10/2023,1154.91,EU
07/10/2023,1192.63,EU
08/10/2023,1191.82,EU
09/10/2023,1119.09,EU
10/10/2023,1198.37,EU
10/11/2023,1193.07,US
10/12/2023,1220.89,US
10/13/2023,1255.47,US
10/14/2023,1233.8,US
10/15/2023,1191.93,US
10/16/2023,1166.8,US
10/17/2023,1277.2,US
10/18/2023,1201.78,US
10/19/2023,1200.42,US
10/20/2023,1199.28,US
10/21/2023,1205.94,US
10/22/2023,1195.67,US
10/23/2023,1182.79,US
10/24/2023,1183.59,US
10/25/2023,1199.02,US
10/26/2023,1183.7,US
10/27/2023,1178.61,US
10/28/2023,1203.19,US
10/29/2023,1192.35,US
10/30/2023,1245.12,US
10/31/2023,1120.47,US
11/01/2023,1379.16,US
02/11/2023,1383.79,EU
11/03/2023,1284.21,US
11/04/2023,1336.13,US
11/05/2023,1335.27,US
06/11/2023,1304.18,EU
11/07/2023,1323.08,US
11/08/2023,1313.09,US
09/11/2023,1398.98,EU
10/11/2023,1374.48,EU
11/11/2023,1384.56,US
11/12/2023,1368.06,US
11/13/2023,1312.54,US
11/14/2023,1330.67,US
11/15/2023,1361.09,US
11/16/2023,1309.75,US
11/17/2023,1367.8,US
11/18/2023,1339.2,US
11/19/2023,1335.17,US
11/20/2023,1367.74,US
11/21/2023,1359.74,US
11/22/2023,1335.58,US
11/23/2023,1381.19,US
11/24/2023,1313.98,US
11/25/2023,1364.89,US
11/26/2023,1364.2,US
11/27/2023,1337.12,US
11/28/2023,1356.19,US
11/29/2023,1308.88,US
11/30/2023,1374.13,US
12/01/2023,1394.45,US
12/02/2023,1384.32,US
12/03/2023,1431.47,US
04/12/2023,1378.87,EU
12/05/2023,1357.75,US
12/06/2023,1353.3,US
12/07/2023,1418.18,US
08/12/2023,1361.59,EU
12/09/2023,1452.64,US
10/12/2023,1337.54,EU
12/11/2023,1450.89,US
12/12/2023,1406.33,EU
12/13/2023,1397.1,US
12/14/2023,1383.65,US
12/15/2023,1411.97,US
12/16/2023,1398.87,US
12/17/2023,1433.1,US
12/18/2023,1403.43,US
12/19/2023,1404.51,US
12/20/2023,1389.09,US
12/21/2023,1398.29,US
12/22/2023,1409.23,US
12/23/2023,1348.69,US
12/24/2023,1359.55,US
12/25/2023,1422.3,US
12/26/2023,1405.13,US
12/27/2023,1394.48,US
12/28/2023,1400.55,US
12/29/2023,1410.43,US
12/30/2023,1383.81,US
12/31/2023,1376.65,US
01/01/2024,1352.29,US
01/02/2024,1317.06,US
01/03/2024,1358.66,US
01/04/2024,1295.33,US
01/05/2024,1377.28,US
01/06/2024,1360.59,US
01/07/2024,1354.09,US
01/08/2024,1375.89,US
01/09/2024,1396.37,US
10/01/2024,1376.84,EU
01/11/2024,1291.18,US
01/12/2024,1308.02,US
01/13/2024,1327.67,US
01/14/2024,1347.19,US
01/15/2024,1361.94,US
01/16/2024,1324.64,US
01/17/2024,1352.01,US
01/18/2024,1323.75,US
01/19/2024,1328.06,US
01/20/2024,1304.21,US
01/21/2024,1318.71,US
01/22/2024,1305.86,US
01/23/2024,1317.13,US
01/24/2024,1378.02,US
01/25/2024,1317.93,US
01/26/2024,1425.38,US
01/27/2024,1361.21,US
01/28/2024,1351.96,US
01/29/2024,1320.66,US
01/30/2024,1367.42,US
01/31/2024,1329.14,US
02/01/2024,1203.66,US
02/02/2024,1276.8,US
02/03/2024,1197.12,US
02/04/2024,1234.48,US
02/05/2024,1178.9,US
02/06/2024,1198.95,US
07/02/2024,1253.12,EU
02/08/2024,1181.19,US
02/09/2024,1254.37,US
02/10/2024,1221.23,US
02/11/2024,1183.13,US
12/02/2024,1218.97,EU
02/13/2024,1229.18,US
02/14/2024,1218.65,US
02/15/2024,1152.89,US
02/16/2024,1178.19,US
02/17/2024,1192.57,US
02/18/2024,1197.77,US
02/19/2024,1218.62,US
02/20/2024,1205.33,US
02/21/2024,1159.94,US
02/22/2024,1211.41,US
02/23/2024,1218.32,US
02/24/2024,1216.79,US
02/25/2024,1232.42,US
02/26/2024,1225.02,US
02/27/2024,1213.78,US
02/28/2024,1197.9,US
02/29/2024,1150.17,US
01/03/2024,1012.89,EU
02/03/2024,1006.23,EU
03/03/2024,1008.15,EU
03/04/2024,961.7,US
03/05/2024,967.57,US
06/03/2024,1031.59,EU
03/07/2024,998.81,US
03/08/2024,1020.45,US
03/09/2024,1000.85,US
03/10/2024,1000.89,US
11/03/2024,1028.15,EU
03/12/2024,984.52,US
03/13/2024,1002.88,US
03/14/2024,986.13,US
03/15/2024,986.97,US
03/16/2024,990.72,US
03/17/2024,1006.66,US
03/18/2024,985.64,US
03/19/2024,1037.67,US
03/20/2024,973.16,US
03/21/2024,994.39,US
03/22/2024,986.81,US
03/23/2024,1043.41,US
03/24/2024,1005.9,US
03/25/2024,1030.96,US
03/26/2024,955.43,US
03/27/2024,1008.01,US
03/28/2024,1026.69,US
03/29/2024,1002.47,US
03/30/2024,1031.96,US
03/31/2024,984.48,US
04/01/2024,842.28,US
02/04/2024,868.97,EU
04/03/2024,789.11,US
04/04/2024,786.63,US
05/04/2024,843.6,EU
06/04/2024,847.39,EU
04/07/2024,784.31,US
04/08/2024,787.39,US
04/09/2024,791.55,US
04/10/2024,759.67,US
11/04/2024,772.44,EU
04/12/2024,769.88,US
04/13/2024,776.97,US
04/14/2024,798.96,US
04/15/2024,807.03,US
04/16/2024,846.52,US
04/17/2024,770.05,US
04/18/2024,829.53,US
04/19/2024,793.58,US
04/20/2024,798.52,US
04/21/2024,820.24,US
04/22/2024,766.32,US
04/23/2024,811.47,US
04/24/2024,804.99,US
04/25/2024,814.77,US
04/26/2024,808.68,US
04/27/2024,873.66,US
04/28/2024,780.87,US
04/29/2024,784.07,US
04/30/2024,781.31,US
05/01/2024,636.93,US
02/05/2024,634.47,EU
05/03/2024,689.26,US
05/04/2024,696.2,US
05/05/2024,636.47,US
06/05/2024,628.62,EU
05/07/2024,667.73,US
08/05/2024,637.02,EU
05/09/2024,672.58,US
05/10/2024,659.68,US
05/11/2024,608.12,US
05/12/2024,700.01,US
05/13/2024,707.47,US
05/14/2024,635.21,US
05/15/2024,641.96,US
05/16/2024,662.17,US
05/17/2024,663.62,US
05/18/2024,673.35,US
05/19/2024,713.9,US
05/20/2024,648.28,US
05/21/2024,629.64,US
05/22/2024,612.21,US
05/23/2024,631.66,US
05/24/2024,652.6,US
05/25/2024,707.43,US
05/26/2024,638.06,US
05/27/2024,660.3,US
05/28/2024,653.1,US
05/29/2024,689.24,US
05/30/2024,729.4,US
05/31/2024,637.66,US
06/01/2024,585.32,US
02/06/2024,631.32,EU
03/06/2024,620.46,EU
06/04/2024,655.4,US
06/05/2024,617.52,US
06/06/2024,589.22,US
06/07/2024,617.72,US
08/06/2024,633.26,EU
06/09/2024,624.61,US
06/10/2024,615.22,US
06/11/2024,632.0,US
06/12/2024,635.08,US
06/13/2024,641.46,US
06/14/2024,619.46,US
06/15/2024,594.99,US
06/16/2024,604.4,US
06/17/2024,636.2,US
06/18/2024,575.49,US
06/19/2024,611.06,US
06/20/2024,588.2,US
06/21/2024,600.86,US
06/22/2024,638.35,US
06/23/2024,605.73,US
06/24/2024,601.39,US
06/25/2024,559.2,US
06/26/2024,622.39,US
06/27/2024,619.36,US
06/28/2024,664.9,US
06/29/2024,590.77,US
06/30/2024,606.57,US
07/01/2024,661.07,US
02/07/2024,700.91,EU
03/07/2024,650.73,EU
07/04/2024,661.96,US
07/05/2024,671.83,US
07/06/2024,659.19,US
07/07/2024,640.2,US
07/08/2024,659.41,US
07/09/2024,685.8,US
10/07/2024,622.79,EU
07/11/2024,657.58,US
07/12/2024,632.59,US
07/13/2024,689.44,US
07/14/2024,607.89,US
07/15/2024,636.82,US
07/16/2024,664.91,US
07/17/2024,700.56,US
07/18/2024,651.62,US
07/19/2024,636.93,US
07/20/2024,710.02,US
07/21/2024,610.15,US
07/22/2024,587.63,US
07/23/2024,666.79,US
07/24/2024,638.53,US
07/25/2024,622.95,US
07/26/2024,674.84,US
07/27/2024,660.9,US
07/28/2024,636.67,US
07/29/2024,615.18,US
07/30/2024,679.76,US
07/31/2024,673.1,US
01/08/2024,797.02,EU
08/02/2024,855.4,US
08/03/2024,767.9,US
04/08/2024,754.23,EU
08/05/2024,779.24,US
08/06/2024,798.63,US
07/08/2024,807.3,EU
08/08/2024,792.76,US
08/09/2024,810.56,US
08/10/2024,762.45,US
08/11/2024,843.31,US
08/12/2024,797.54,US
08/13/2024,833.52,US
08/14/2024,810.28,US
08/15/2024,813.7,US
08/16/2024,817.09,US
08/17/2024,813.43,US
08/18/2024,819.28,US
08/19/2024,839.87,US
08/20/2024,805.9,US
08/21/2024,821.27,US
08/22/2024,797.31,US
08/23/2024,843.2,US
08/24/2024,779.71,US
08/25/2024,854.03,US
08/26/2024,798.8,US
08/27/2024,757.08,US
08/28/2024,803.84,US
08/29/2024,779.57,US
08/30/2024,825.22,US
08/31/2024,780.42,US
01/09/2024,986.61,EU
09/02/2024,943.31,US
09/03/2024,986.43,US
04/09/2024,927.28,EU
05/09/2024,952.48,EU
09/06/2024,1022.81,US
09/07/2024,1023.57,US
08/09/2024,1012.76,EU
09/09/2024,970.99,US
09/10/2024,998.57,US
09/11/2024,999.89,US
09/12/2024,965.25,US
09/13/2024,1045.1,US
09/14/2024,1026.32,US
09/15/2024,993.37,US
09/16/2024,1000.81,US
09/17/2024,1006.25,US
09/18/2024,938.75,US
09/19/2024,992.58,US
09/20/2024,979.54,US
09/21/2024,969.95,US
09/22/2024,991.57,US
09/23/2024,1053.93,US
09/24/2024,1019.23,US
09/25/2024,982.86,US
09/26/2024,1017.18,US
09/27/2024,1041.98,US
09/28/2024,1027.74,US
09/29/2024,1001.79,US
09/30/2024,980.59,US
10/01/2024,1220.95,US
10/02/2024,1211.8,US
03/10/2024,1226.86,EU
10/04/2024,1219.06,US
10/05/2024,1231.49,US
06/10/2024,1183.94,EU
07/10/2024,1239.52,EU
08/10/2024,1205.93,EU
09/10/2024,1262.26,EU
10/10/2024,1179.32,US
10/11/2024,1252.08,US
12/10/2024,1205.94,EU
10/13/2024,1180.46,US
10/14/2024,1185.48,US
10/15/2024,1190.39,US
10/16/2024,1212.72,US
10/17/2024,1215.69,US
10/18/2024,1182.79,US
10/19/2024,1199.27,US
10/20/2024,1264.27,US
10/21/2024,1251.83,US
10/22/2024,1213.09,US
10/23/2024,1201.14,US
10/24/2024,1203.6,US
10/25/2024,1218.41,US
10/26/2024,1169.32,US
10/27/2024,1192.28,US
10/28/2024,1149.94,US
10/29/2024,1211.98,US
10/30/2024,1219.42,US
10/31/2024,1185.5,US
01/11/2024,1393.63,EU
02/11/2024,1309.64,EU
03/11/2024,1302.48,EU
04/11/2024,1353.14,EU
05/11/2024,1377.82,EU
06/11/2024,1396.93,EU
07/11/2024,1332.64,EU
11/08/2024,1378.77,US
11/09/2024,1345.25,US
10/11/2024,1341.23,EU
11/11/2024,1372.92,EU
11/12/2024,1365.98,US
11/13/2024,1299.12,US
11/14/2024,1390.71,US
11/15/2024,1387.81,US
11/16/2024,1327.64,US
11/17/2024,1358.28,US
11/18/2024,1361.23,US
11/19/2024,1354.23,US
11/20/2024,1329.9,US
11/21/2024,1326.26,US
11/22/2024,1345.64,US
11/23/2024,1381.59,US
11/24/2024,1362.72,US
11/25/2024,1335.29,US
11/26/2024,1369.56,US
11/27/2024,1260.95,US
11/28/2024,1380.87,US
11/29/2024,1294.22,US
11/30/2024,1335.54,US
12/01/2024,1366.41,US
12/02/2024,1361.16,US
03/12/2024,1434.82,EU
04/12/2024,1385.97,EU
12/05/2024,1410.4,US
06/12/2024,1398.59,EU
07/12/2024,1414.31,EU
12/08/2024,1402.3,US
09/12/2024,1361.51,EU
10/12/2024,1429.89,EU
12/11/2024,1385.19,US
12/12/2024,1353.3,EU
12/13/2024,1387.16,US
12/14/2024,1445.02,US
12/15/2024,1425.51,US
12/16/2024,1389.54,US
12/17/2024,1389.52,US
12/18/2024,1390.35,US
12/19/2024,1462.3,US
12/20/2024,1411.46,US
12/21/2024,1412.9,US
12/22/2024,1430.91,US
12/23/2024,1407.16,US
12/24/2024,1392.23,US
12/25/2024,1394.11,US
12/26/2024,1397.85,US
12/27/2024,1398.88,US
12/28/2024,1421.83,US
12/29/2024,1401.56,US
12/30/2024,1421.98,US
12/31/2024,1397.58,US
